keyword,title,link,summary,date
LTV DTI 규제,"연소득 5000만원, 7월부터 대출 한도 최대 5000만원 줄어들어",https://www.hankyung.com/article/2025031933781,"다주택자LTV는 비규제지역 60%,규제지역 30%다.LTV가 주택 가격을 기준으로 대출 한도를 정하는 기준이라면DTI는 개인 소득을 기준으로 주담대 한도를 제한한다.DTI는 주담대 원리금 및 신용대출 같은 기타 대출의 이자(원금 제외) 합계가 연소득의 일정 비율을 초과하지 못하도록 한규제다. 매년...",
LTV DTI 규제,집값 들썩이자...강남3구·용산구 전체 ‘토지거래허가구역’ 지정,https://www.chosun.com/national/national_general/2025/03/19/J6PEXFUJ6JA63NXAO64EPJNH24/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,LTV와DTI 규제가 강화되고 다주택자에 대한 양도소득세가 중과되는 등의규제를 받는다. 국토부 관계자는 “이번 지정 이후에도 과열이 지속될 경우 조정대상지역과 투기과열지구 추가 지정도 검토할 것”이라고 했다. 주택담보대출을 비롯한 금융·가계 대출 관리도 강화한다. HUG 전세자금대출 보증비율...,
LTV DTI 규제,[부동산DNA] LTV·토허제...부동산 규제 뭐가 있나,https://www.fetv.co.kr/news/article.html?no=181134,"조정대상지역에서는LTV,DTI 규제는 물론, 새로 분양받은 주택의 권리를 일정 기간 동안 팔지 못하게 하는 분양권 전매 제한과 무주택자나 해당 지역에 거주한 사람에게 청약 기회가 우선적으로 주어지는 1순위 청약 자격 제한 규제가 적용될 수 있다. 조정대상지역의 목표는 단순히 부동산 투기를 막는 것이...",
LTV DTI 규제,[뉴스락 특별기획│2025 부동산 시장 긴급진단] 대출이 무너져도 솟아날 구멍은 있다,http://www.newslock.co.kr/news/articleView.html?idxno=101398,현행LTV·DTI 규제에 이어 내년 7월부터 시행되는 3단계 스트레스 DSR은 실수요자들의 대출한도를 더욱 옥죄일 전망이다. 그간 주담대 규제를 규제했던 LTV와 DTI 규제만으로는 가계부태 증가세를 효과적으로 통제하기는 어려웠다. 대출자들이 주담대 한도 부족분을 신용대출로 충당하는 '풍선효과'가 발생했기...,
LTV DTI 규제,집 있으면 대출 막은 이복현 금감원장의 다음 칼…文 정부 LTV 부활하나,https://realty.chosun.com/site/data/html_dir/2024/09/05/2024090502598.html,"문 정부는 2017년 8·2 부동산 대책을 시작으로 지역별 주택담보대출비율(LTV,DTI)규제를 강화했다. 서울·수도권 지역을 규제지역, 비규제지역으로 나누고 지역과 차주의 주택 보유수에 따라 주담대 한도를 차등 적용했다. 한 때는 서울 등 투기지역에서 LTV 비율이 40%까지 낮아졌다. 집값이 9억원인 경우...",
LTV DTI 규제,'가계부채와의 전쟁' 금융당국…DSR 한도 축소ㆍLTV 강화 검토,http://www.newsfc.co.kr/news/articleView.html?idxno=66218,중심으로 가계부채도 급증했던 2000년대 중반LTV규제를 강화하고 총부채상환비율(DTI)규제를 도입한 바 있다. 글로벌 금융위기 이후 경기를 부양하기 위한 저금리 정책이 지속에 정부의 부동산규제완화로 부동산 가격과 가계대출이 급등했던 2015∼2016년에도LTV와DTI 규제를 크게 강화했었다.,
LTV DTI 규제,[기고] 금산결합 플랫폼은 어떻게 규제해야 하나,https://www.kbanker.co.kr/news/articleView.html?idxno=217173,"예를 들어 대출 시LTV나DTI 규제와 같이 금융행위 자체에규제를 부과하는 방식이다. 반면 기관 기반규제는 특정 기관 자체에 대한규제를 의미하며, 은행에 자기자본규제를 부과하는 것이 대표적 예이다. 금산결합 추세에 대응해 ""동일 기능, 동일규제"" 원칙을 주장하는 목소리가 높은데 이는 행위 기반규제의...",
LTV DTI 규제,"한은 “LTV·DTI 규제 강화, 2017년 이후 경제적 불평등에 영향 없다”",https://www.nongmin.com/article/20230710500513,"2017년부터 강화된LTV·DTI 규제를 규제 충격으로 보고, 패널 이중차분법을 이용해 우리나라 가구의 부채와 주택자산에 미친 영향을 분석했다.LTV·DTI 규제는 2014년 지역 구분 없이 동일하게 적용됐다가 2017년부터 지역별로 차등 적용되기 시작했다. 분석 결과 2017년 이후LTV·DTI 규제가 적용된 조정대상지역의...",
LTV DTI 규제,"한은 “LTV·DTI 규제 강화, 부채 불평등 낮춰도…주택자산 영향 없어”",http://www.metroseoul.co.kr/article/20230710500461,"이에 따라 한국은행은LTV·DTI규제가 가계대출을 억제해 부채 불평등을 완화하는 효과가 있기 때문에 ""거시건전성 정책의 강화가 자산을 적게 보유한 가구의 대출 접근성을 제약해 불평등을 키운다는 주장은 반드시 들어맞지 않는다""고 평가했다. 김민수 차장은 ""LTV·DTI 규제가 의도하지 않게 불평등을...",
LTV DTI 규제,[MT시평]돌아보는 과거 대출규제,http://news.mt.co.kr/mtview.php?no=2024092215321444465,"마침내 2006년 11월15일 '부동산시장 안정화 방안'을 통해LTV규제강화,DTI확대적용 등이 발표됐으며 동시에 17일부터 '수도권 전역의 주택담보대출에 대해 사실상 총량규제를 요구하는 창구지도'가 시행됐다. 후속대책으로 12월20일 가계대출에 대한 대손충당금 강화정책이 나왔고 2007년 1월11일에는...",
