keyword,title,link,summary,date
양도세 완화,"증권가, 해외주식 양도세 관련 서비스 확대",https://www.viva100.com/article/20250324501243,최근 NH투자증권과 키움증권은 해외주식양도세관련 서비스를 강화하며 투자자들의 세금 부담완화와 신고 편의성 증진에 나섰다. NH투자증권은 24일 업계 최초로 ‘해외주식양도세절세전략 고객선택권’ 서비스를 출시했다. 이 서비스는 해외주식양도세산정방식을 고객이 직접 선택할 수 있도록 하는...,
양도세 완화,공익사업으로 수용되는 토지 양도세 감면 효과는?,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202503271025408770873,"업계 관계자는 “일각에서는 토지를 비자발적으로 내놓게 되는 토지주 등에양도세를 전액 감면, 신속한 사업추진에 힘을 보태야 한다는 의견이 많았다”며 “세제헤텍이 다소 강화되면서 정부와 지자체가 추진하는 공공택지개발사업이나 국가산단조성사업과 관련한 보상절차 등의 어려움이 한층완화될 수...",
양도세 완화,與 “지방 주택 사면 다주택 중과세 폐지… 부동산 양극화 완화”,https://www.seoul.co.kr/news/politics/2025/03/19/20250319006002?wlog_tag3=naver,문재인 정부 때 시작된 다주택자양도세중과 정책을 정면으로 뒤집겠다는 것이다. 최근 국민의힘은 잇달아 지역 건설 경기 부양책을 강조하고 있다. 앞서 김상훈 정책위의장은 지난 11일 비수도권 미분양 사태 해결을 위한 총부채원리금상환비율(DSR) 대출 규제완화를 언급했다. 이를 두고는 지역 민심 잡기용...,
양도세 완화,"""양도세·취득세 등 다주택자 중과세 폐지, 지방미분양 해소 도움될 것""",http://news.mt.co.kr/mtview.php?no=2025031813555790701,"함영진 우리은행 부동산리서치 랩장은 ""구체적인 내용이 나오지 않아 효과를 제대로 예측할 순 없다""면서도 ""기타 지방과 지방 광역시에양도세와 종부세 등 과세 전체를완화한다면, 주택 구매 수요 유입으로 지방 미분양 해소에 도움이 될 것""이라고 말했다. 김인만 김인만부동산경제연구소장은 ""지방...",
양도세 완화,"與, 지방 집에는 다주택 중과 폐지…""양도세·종부세·취득세 모두 적용""",http://news.mt.co.kr/mtview.php?no=2025031811171853244,"양극화를완화할 수 있을 것""이라고 밝혔다. 국민의힘은 해당 세제혜택을 양도소득세와 종부세, 취득세 등에 적용할 계획이다. 당초 정부는 종부세와 취득세에 대해서 지방 주택 추가 매수시 세제혜택을 주는 방안을 마련했는데양도세에 대해서도 확대 적용하기로 한 것이다. 또 해당 세제혜택은 서울과 수도권을...",
양도세 완화,"지방 미분양, 빌라는 초토화…""양도세 감면 등 특단 稅혜택 필요""",https://www.hankyung.com/article/2025031951481,"그러나 업계에서는 실질적인 공급 확대 대책과 함께 세제 혜택 제공, 대출 금리완화등이 시급하다는 지적이 나온다. 19일 국토교통부와 서울시는... 기업구조조정 리츠(CR리츠)는 사업성을 확보할 수 있도록 취득세 중과 배제, 종합부동산세 합산 배제와 함께 자금조달 부담완화를 위한 주택도시보증공사...",
양도세 완화,‘똘똘한 한채’ 시대 끝날까…與 종부세 완화 추진 핵심은 ‘다주택 차별 해소’,https://www.mk.co.kr/article/11260353,우병탁 신한은행 프리미어 패스파인더 전문위원은 “3주택자 이상부터 적용되는 종부세 중과 폐지가 시장에 큰 영향을 미칠 것으로는 전망되지 않는다”며 “취득세와양도세에 대한완화정책이 같이 나와야 효과를 거둘 수 있을 것”이라고 말했다.,
양도세 완화,"임광현 “배우자 상속세 완화, 합리적이지만 충분한 여론수렴 필요”",https://biz.heraldcorp.com/article/10444323?ref=naver,"상속공제완화는 합리적인 제도지만, 결코 졸속으로 추진할 사안이 아니다”라고 강조했다. 임 의원은 이날 오후 국회 소통관에서 기자회견을 열고... 만약 배우자가 상속받은 자산을양도세없이 차익을 실현했을 때 그 자산 차익에 대한 과세 기회를 잃어버릴 수 있다”라고 지적했다. 또 “일단 배우자에게...",
양도세 완화,[주택정책 원점부터 다시 짜자]<해법1>다주택자 규제 완화로 유동성ㆍ수요 분산해야,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202503250947047440447,지방수요 창출을 위해 취득세 중과세율을 12%에서 2주택 기준 1~3% 수준으로완화하고 3주택도 절반(6%)으로 줄여야 한다는 지적이다.양도세또한 중과세율을 폐지하고 기본세율을 적용해야 한다는 설명이다. 종합부동산세제 측면에서도 3주택 이상 중과세율은 일반세율 수준으로 낮춰야 한다는 지적이다....,
양도세 완화,與 지방에 추가 주택 구입시 중과세 폐지 추진…“부동산 양극화 완화 기대”,https://www.kwnews.co.kr/page/view/2025031818430847731,"그는 ""종부세율 인상,양도세·취득세 중과, 공시가 인상 등 다주택자에 대한 문재인 정권의 무차별적인 조세 폭격은 부동산 탈레반이라고 불릴 만큼... 그러면서 ""이를 통해 현재 똘똘한 한 채로 몰리는 수요를 지방으로 돌리고 수도권과 지방의 부동산 양극화를완화할 수 있을 것""이라며 ""부동산 시장 정상화를...",
양도세 완화,"與, 정부에 ""비수도권 DSR 완화·세제 개편"" 촉구",https://www.sedaily.com/NewsView/2GQ7DVYE17,앞서 여당은 지난달에도 비수도권 미분양 문제 해소를 위해 DSR 대출 규제를 한시적으로완화하는 방안을 정부에 요청했다. 하지만 김병환 금융위원장은 “실효성 측면에서 과연 지방 미분양 아파트를 DSR 규제 때문에 못 사고 있느냐”며 반대했다. 정부는 취득세·양도세감면 등 세제 혜택에도 부정적인...,
양도세 완화,공익사업 토지 양도세 완화…공전협 5년 투쟁 성과,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202503040359&t=NN,3기 신도시를 비롯해 전국의 공공주택지구 원주민들로 구성된 공전협은 3기 신도시 정책이 추진된 이후 줄곧양도세 완화를 지속적으로 요구해왔다. 집값 안정이라는 공익적 이유로 개발이 추진되며 수십년간 거주했던 지역을 떠나야 하는 상황에서 양도세까지 부담해야 하는 것은 불합리하다는 주장이다.,
양도세 완화,"서울시, 오피스텔 발코니 창호 설치 허용...규제 완화 지속",https://www.rcast.co.kr/news/articleView.html?idxno=27336,"물론 지난해 규제완화이후, 추가 규제완화가 이뤄지긴 했지만 투자 목적의 수요가 많은 오피스텔 시장의 특성상 투자자들이 더 유입되기 위해서는 세금 문제를 해결해 줘야 한다고 주장한다. 업계 관계자는 ""오피스텔을 팔 때 중과세로 인해양도세부담이 커진다. 또한 개인 이외에도 법인 취득세 감면 등...",
양도세 완화,"공익사업 토지 양도세 완화...강준현 대표발의, 조특법 개정안 본회의 통과",https://www.ajunews.com/view/20250228124841805,"토지 소유자가 공익사업을 위해 토지를 매각할 경우, 한 해동안 받는양도세감면 한도가 기존 1억원에서 2억원으로 늘어났다. 5년 동안 받을 수 있는 한도도 2억원에서 3억원으로 증가했다. 장기적으로 공익사업 대상 토지를 매각하는 경우에 세제 혜택이 더 커진다는 게 강 의원실의 설명이다. 강준현...",
양도세 완화,“무주택자 미분양 소화 힘든데 취득세·양도세 세제 완화 빠져” [지방 미분양 대책],https://biz.heraldcorp.com/article/10423607?ref=naver,"앞서 정부는 글로벌 금융위기로 전국 미분양 아파트가 쌓이자 2009년양도세감면, 취득·등록세 50% 감면 등 세제완화대책을 시행한 바 있는데 이번 대책에선 포함되지 않았다. 윤지해 부동산R114 수석연구원은 “현재 (지방 상황은) 세제 혜택만으로도 주택매수 주체가 움직일 거라고 확신할 수 없는 상황인데...",
양도세 완화,"건설업계 ""양도세 감면·DSR 완화 빠져…파격 대책 필요""",https://www.hankyung.com/article/2025021964501,또 해당 주택을 5년 이내 매각하면양도세를 100% 감면해 달라고 했다. 하지만 정부가 이날 발표한 대책에는 이런 방안이 담기지 않았다. 오는 7월 도입되는 대출 규제인 ‘스트레스 총부채원리금상환비율(DSR) 3단계’완화요구도 빠지자 건설업계는 아쉬움을 숨기지 않았다. 건설업계 관계자들은 “빠르게...,
양도세 완화,"악성 미분양 '11년 만에 최대'…""DSR 완화보단 양도세 감면 필요""",https://www.news1.kr/realestate/general/5679791,"전문가들은양도세전액 면제 등의 강력한 대책이 아닌 이상 지방 미분양 문제 해결이 쉽지 않을 것으로 전망했다. 다주택자에 대한양도세중과가... 이 자리에서 김상훈 국민의힘 정책위의장은 ""비수도권 준공 미분양 사태에 대해 DSR(총부채원리금상환비율) 대출 규제의 한시적완화를 금융위원회와...",
양도세 완화,대주주 양도세 완화 효과 연말 매도 폭탄 사라졌다,https://www.mk.co.kr/article/11204143,작년 요건 10억→50억 늘리자 대주주 지정날 주식처분 줄어 5거래일 전까진 매수 더 많아 매년 연말양도세회피 기한마다 쏟아졌던 개인투자자의 매물... 올해는 정부가 지난해 말 대주주 판단 요건을 종목별 10억원에서 50억원으로 올린 데다 증시까지 부진하며 '큰손'들의양도세회피 물량이 줄어든...,
양도세 완화,"""지방 악성 미분양 여전, 양도세 면제 등 필요"" [설 이후 부동산]",https://www.news1.kr/realestate/general/5673462,미분양 물량 해소를 위해 세제완화와양도세면제 등의 지원책이 필요한 상황이다. 관련 업계에선 지방 대출규제 개선을 꼽고 있다. 건설업계는 미분양이 심각한 수도권 외 지역부터 상향된 2단계 총부채원리금상황비율(DSR) 적용을 단계적으로완화해달라고 요청했다. 당국이 은행권에 당부한 가계대출...,
양도세 완화,미분양주택 12년래 최대…지방 미분양 세부담 완화 확대되나,http://www.edaily.co.kr/news/newspath.asp?newsid=01784326642071176,이어 “악성 미분양 주택뿐 아니라 일반 미분양 주택에 대해서도 세금부담을완화하고 과거처럼양도세5년 감면이 필요하다”며 “수요 측면에선 DSR 대신 총부채상환비율(DTI)만 적용하는 것이 낫다”고 덧붙였다. 분양가 낮추는 등 건설사 자구책도 필요 2008년 이후 미분양 주택 해소 대책에선...,
양도세 완화,中 부동산 살리기 총력전…내달부터 취득세·양도세 대폭 완화,https://www.mk.co.kr/article/11172116,"베이징市, 세제 개편안 발표 2년 이상 보유땐양도세면제 140㎡ 이하는 취득세 1%로 중국 정부가 침체에 빠진 부동산 시장을 살리기 위해 주택 거래 때 붙는 세금을 대폭완화하기로 했다. 19일 중국 관영 신화통신은 베이징시가 전날 ‘일반주택 기준 폐지에 관한 사항 통지’를 발표하고 내달 1일부터 부동산...",
양도세 완화,[2025 경제정책방향] 올해 공공분양 10만가구...다주택자 양도세 중과 유예 연장,https://www.ajunews.com/view/20250102123102724,"조정 대상 지역에서 주택을 양도하는 다주택자에 해당하는 것으로,양도세부담을완화해 주택 거래를 촉진하려는 조치다. 비수도권 저가 주택 세제 혜택도 강화한다. 종합부동산세(종부세) 1가구 1주택자 특례를 적용할 주택 범위를 확대하는 것이 핵심이다. 현재 1주택 세대가 비수도권(광역시...",
양도세 완화,“미분양 주택 세제 완화·공사비 현실화”…건설경기 부양 남은 카드는?,https://www.etoday.co.kr/news/view/2445733,전문가는 미분양 해결을 위해 취득세와양도세 완화등 대규모 세제 완화안이 나와야 한다고 지적했다. 최황수 건국대 부동산대학원 겸임교수는 “2009년 미분양 주택 문제 해결을 위해 미분양 주택 매수 때 취득세 인하 등 파격적인 조치가 나왔다”며 “당시 세제 완화 조치 이후에도 미분양 문제가 단시간...,
양도세 완화,비수도권 미분양 DSR 한시완화 추진,https://www.sedaily.com/NewsView/2GOU8XC1LE,투자 수요를 끌어올리기 위해서는 취득세·양도세 완화등의 조치가 뒤따라야 한다”고 밝혔다. 서진형 광운대 부동산법무학과 교수는 “지방은 DSR이 적용되지 않은 정책대출을 활용해 집을 구매하는 수요가 많아 미분양 해소에 큰 도움이 되지 못할 것”이라며 “세제 혜택 등 추가적인 대책이 필요하나...,
양도세 완화,"강준현 의원, '공익사업용 토지 양도세 완화' 조특법 개정안 재발의",https://www.taxtimes.co.kr/news/article.html?no=266596,공익사업용 토지양도세를완화하는 내용의 조특법 개정안이 재발의됐다. 강준현 의원(더불어민주당)은 지난달 26일 공익사업용으로 토지 등을 양도한 후 발생한 소득에 매기는 양도소득세를완화하는 내용의 조세특례제한법 개정안을 임기만료로 폐기된 21대 국회에 이어 22대 국회에서 다시...,
양도세 완화,“바람 잘 날이 없네”…‘비수도권 DSR 한시 완화’ 미분양 해소에 도움?,https://www.mk.co.kr/article/11232827,與 비수도권 건설경기 회복 차원 DSR 적용 한시완화정부에 요구 ”양도세면제 등 과감한 정책이 더욱 시급“ 국민의힘이 비수도권 미분양 주택 구입을 위한 대출에서 총부채원리금상환비율(DSR) 적용을 한시적으로완화하는 방안을 정부에 요구했지만 업계의 반응은 냉담하다. 무조건적인 규제완화보다는...,
양도세 완화,"안춘엽 한일종합중기 대표, 건설기계협회장 연임",http://mcnews.co.kr/83798,"안 회장은 취임사를 통해 “제10대 회장 임기 중 건설기계매매에 따른양도세 완화, 협회의 완전한 재정적 안정, 연식·연령제한 완화, 협회 시도회 예산지원 확대 등을 추진하는 소기의 성과를 얻었다”며, ”앞으로도 건설기계 월 가동시간 완화, 검사주기 연장, 협회의 검사기관 집행부 참여...",
양도세 완화,당정 'DSR 완화' 주문…금융위 신중한 이유는,https://www.kbanker.co.kr/news/articleView.html?idxno=218430,"이어 ""탄핵 정국이라 내수진작이 위축돼 있어 DSR 규제완화와 함께 취득세·양도세감면 조치까지 이뤄진다면 일부 효과가 있을 수 있다""며 ""다만 여소야대 정국에서 합의가 쉽지는 않을 것""이라고 설명했다. 한편 오는 7월부터 '스트레스 DSR 3단계'가 시행되면 대출 문턱이 더욱 높아질 전망이다. 한 금융권...",
양도세 완화,"100억 한 채는 괜찮고...""너무 억울하다"" 40년간 변하지 않은 이것 [부동산 아토즈]",http://www.fnnews.com/news/202503281432139879,"취득세·종부세는 물론양도세가 중과세 되는 것이 대표적인 예이다. 2주택 이상을 다주택자로 보는 기준은 벌써 40여년째 이어져 오고 있다. ""세금 더... 갈수록 커지는 양극화 해소를 위해서는 다주택자 규제완화가 필요하다는 것이 전문가들의 지적이다. 벌써 40년...'다주택자=2주택 이상' 다주택자 중과세...",
양도세 완화,"구리시, 경기도에 ""공익 수용 토지 양도세 전액 면제 바람직""",https://www.newsis.com/view/NISX20241112_0002955980,구리시 관계자는 “공익사업에 한해 양도소득세를 전액 면제하는 방안과 함께 공익사업용 토지양도세를완화하는 내용의 조세특례제한법 제77조 개정안이 국회를 통과할 수 있도록 다른 시·군에도 협조를 요청했다”며 “시민들의 재산권을 보호할 수 있는 공정하고 합당한 보상 체계가 마련되기를...,
양도세 완화,3년째 유예만 했는데…소식없는 다주택자 양도세 중과 완화,https://www.sedaily.com/NewsView/2DCUHSU880,31일 기획재정부 관계자는 서울경제신문과의 통화에서 “3년째 ‘한시 유예’인양도세중과는 현재 시행령을 통해 적용 시점을 미뤄둔 상태”라며... 재산 보유·거래에 대한 규제완화가 자칫 투자 심리를 자극할 수 있다는 논리다. 국회 기획재정위원회 관계자는 “여야 양쪽에서 부동산 세제를완화하자는...,
양도세 완화,미분양주택 해소·임대주택공급 활성화 위한 '양도세 감면' 추진,http://www.joseilbo.com/news/news_read.php?uid=527884&class=7&grp=,"이번 법안에는 장기 임대주택 공급을 확대하고, 비수도권 미분양 주택 문제를완화하기 위한양도세감면 내용이 담겼다. 개정안에 따르면, 20년 장기민간임대주택을 건설해 임대하려는 자에게 거주자가 해당 임대주택 부지로 사용될 토지를 양도하는 경우, 매도자의양도세가 감면된다. 이는 임대주택을...",
양도세 완화,“공급까지 시간 걸려 단기 효과 없어” “다주택자 양도세 완화 빠져서 한계”,https://www.seoul.co.kr/news/economy/estate/2024/08/09/20240809003002?wlog_tag3=naver,대표는 “비아파트는 규제를완화한다고 해도 실수요를 끌어들이기 힘들다”고 했다. 다주택자에 대한 양도소득세완화가 필요하다는 주장도 나온다. 서 교수는 “신규 공급에는 한계가 있기 때문에 매물이 나오도록 다주택자양도세감면 조치 등을 해야 하는데 이번 대책에 빠졌다”고 지적했다.,
양도세 완화,"""건설기계 업계 발전 위해 모든 힘 쏟을 것"" 대한건설기계협회 안춘엽 회장 연임",http://www.domin.co.kr/news/articleView.html?idxno=1507831,"안 회장은 취임사를 통해 ""제10대 회장 임기 중 건설기계매매에 따른양도세 완화, 협회의 완전한 재정적 안정, 연식·연령제한 완화, 시도회 예산지원 확대 등 미력하나마 최선을 다한 결과 소기의 성과를 얻었다""며, ""앞으로도 건설기계 월 가동시간 완화, 검사주기 연장, 협회의 검사기관 집행부 참여...",
양도세 완화,[열린송현] 유연한 주택 대출 규제 필요하다,https://www.sedaily.com/NewsView/2GQDB56C6Z,이외에도 정책발표 후 실행되지 못하고 있던 취득세율 인하와 지방 미분양주택의양도세 완화등이 함께 진행되면 현재의 위기상황을 타개하는 데 도움이 될 수 있을 것으로 보인다. 우리는 지난 수십 년간의 경험을 통해 주택시장에서 발생한 수요와 공급의 불일치는 다음 시기까지 부정적 영향을 미친다는...,
양도세 완화,[따져보니] 지방 부동산 침체…해결 방법은?,https://news.tvchosun.com/site/data/html_dir/2025/03/18/2025031890271.html,"네 현행법상 부동산을 취득할 때 조정지역 2주택 이상이면 취득세가 대폭 늘어나고 한시적으로완화되어 있긴 하지만양도세부담도 커지는데요. 국민의힘은 오늘 주택보유자가 지방에 추가로 주택을 산다고 하면 이 다주택자 중과세를 폐지하자고 했습니다. 함영진 / 우리은행 부동산리서치랩장 ""어느 선까지...",
양도세 완화,"""지방 미분양 해소 위해 양도세 면제하고 청약 제도 개선해야""",https://www.hankyung.com/article/2024090476961,"한 대형 건설사 분양담당자는 “정부는 여전히 부동산 시장이 과열이라고만 생각하는데, 수도권과 지방의 사정이 다르다는 점을 인정해야 한다”며 “양도세 완화등은 시장 침체 상황에서 추가 재정 투입 없이 시장 심리를 회복시킬 수 있는 방안”이라고 했다. 이날 간담회에선 청약 제도 개선 요구도 나왔다....",
양도세 완화,양도세 감면 등 다주택자 규제 완화...'더샵 신부 센트라' 주목,http://news.heraldcorp.com/view.php?ud=20240507050581,"하지만 윤석열 정부 출범 이후 다주택자양도세중과완화조치가 발표되면서 조정지역 내의 집을 팔아도 기본세율만 부과되고 있다. 앞서 윤대통령은 국민과 함께하는 민생 토론회 마무리 발언에서 ""'(재산이) 있는 사람들한테 더 세금을 뜯어내야지' 이렇게 생각하기 쉬운데 그게 사실은 중산층과 서민을...",
양도세 완화,포항 최초 조식서비스 '하이엔드 아파트'… 힐스테이트 더샵 상생공원 1단지 4월 1일 1순위 접수,https://www.idaegu.com/news/articleView.html?idxno=632824,"포항지역 한 분양전문가는 ""여당이 최근 다주택자 중과세 폐지를 추진하겠다고 밝힌 데 이어 대출 규제와양도세 완화에 대한 필요성도 함께 제기되고 기대가 커지면서 좋은 위치, 합리적인 분양가에 나오는 지방 분양시장에도 긍정적인 에너지가 올라오고 있다""라고 밝혔다. 더구나 포항 도심에서...",
양도세 완화,"'DSR 완화·양도세 5년 면제'…대구시, 미분양 해소 팔 걷다",https://www.idaegu.co.kr/news/articleView.html?idxno=465789,"대구광역시는 미분양 주택 문제를 해소하기 위해 DSR완화, 양도소득세 5년 면제 등 중앙과 차별화된 특단의 대책을 마련하기로 했다. 기존 공급물량 제한... 주요 정책 요구 사항으로는 △지방 미분양 주택 매입시 취득세 및 양도소득세 감면 등 세제완화△DSR완화및 주택담보대출 정책금리 지원 등 금융지원...",
양도세 완화,서울은 누르고 지방은 띄우고…혼돈의 부동산 시장[부릿지],http://news.mt.co.kr/mtview.php?no=2025032716355378557,"금융당국이 얼마 전까지만 해도 금리인하를 주문하고 대출 규제를 일부완화하는 모습이 보였는데 사실상 다시 대출을 죄면서 혼란이 커지고 있습니다.... 취득세와양도세감면이 포함되지 않아 아쉽다는 말이 나왔는데, 이번 정책은 그 점을 파고듭니다. 주택 매매에 들어갈 비용들을 줄여주는 것이라 전문가들...",
양도세 완화,'세컨드홈' 종부세 9억→12억 적용…양도세도 완화,https://www.news1.kr/articles/5384231,종부세·양도세의 경우 오는 9월 종부세 과세특례 신청 기한 이전 법 개정을 목표로 조세특례제한법 개정안을 이달 중 발의할 예정이다. 재산세는 오는... 관광단지 필수 시설은 기존 3종류 이상 구비에서 공공편익과 관광숙박시설 등 2종류 이상 구비로완화한다. 사업 후보지 역시 자자체 전수 조사 수요에...,
양도세 완화,"강준현 의원, 공익사업용 토지 양도에 대한 양도세 완화 2법 발의",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=753273,국회 기획재정위원회 소속 더불어민주당 강준현 의원(세종을)이 19일 공익사업용으로 토지 등을 양도한 데서 발생한 소득에 대한양도세규정을완화하는 조세특례제한법과 소득세법 등 2법을 대표발의했다. 조세특례제한법 개정안은 현행법상 공익사업용 토지 등에 대한양도세감면 비율을 현행보다 10%씩 더...,
양도세 완화,"강준현 의원, 공익사업용 토지 양도세 완화 2법 발의",http://www.ccnnews.co.kr/news/articleView.html?idxno=322822,"국회 기획재정위원회 소속 강준현 의원(더불어민주당, 세종을)이 19일(금) 공익사업용으로 토지 등을 양도한 데서 발생한 소득에 대한양도세규정을완화하는 '조세특례제한법'과 '소득세법' 2법을 대표로 발의했다. 국회 기획재정위원회 소속 강준현 의원(더불어민주당, 세종을) 조세특례제한법 개정안은...",
양도세 완화,"강준현 의원 , 공익사업용 토지 양도세 완화 2 법 발의",http://www.breaknews.com/1010926,"국회 기획재정위원회 소속 강준현 의원 ( 더불어민주당 , 세종을 ) 이 19 일 공익사업용으로 토지 등을 양도한 데서 발생한 소득에 대한양도세규정을완화하는 ‘ 조세특례제한법 ’ 과 ‘ 소득세법 ’ 2 법을 대표발의했다고 밝혔다....",
양도세 완화,"강준현 의원, 공익사업용 토지 양도에 대한 양도세 완화 2법 발의",http://www.newsworker.co.kr/news/articleView.html?idxno=315938,"국회 기획재정위원회 소속 강준현 의원(더불어민주당, 세종을)이 19일(금) 공익사업용으로 토지 등을 양도한 데서 발생한 소득에 대한양도세규정을완화하는 '조세특례제한법'과 '소득세법' 2법을 대표발의했다. 조세특례제한법 개정안은 현행법상 공익사업용 토지 등에 대한양도세감면 비율을 현행보다 10%씩...",
양도세 완화,양도세 완화 후 대기자금 1년6개월만 ‘최대’…개미 이차전지 몰렸다,https://www.etoday.co.kr/news/view/2317880,증권가에선 정부가양도세 완화에 이어 금투세 폐지도 추진하면서 대기성 자금이 더 늘어날 가능성도 제기된다. 일각에선 증시에 미칠 영향에 대해 긍정적일 거란 분석이 나온다. 다만 도입에 시간이 걸리는 만큼 시차가 발생할 거란 예측도 나온다. 허재환 유진투자증권 애널리스트는 “세금을 깎아...,
