keyword,title,link,summary,date
임대차법,"""부작용에 시장 혼선""…임대차 2법 손질 나선 정부[주간 부동산 키워드]",https://www.newsis.com/view/NISX20250328_0003116963,"그러나법시행 이후 매물 감소와 전셋값 상승, 이중 가격 등의 문제가 불거졌다. 보고서에 따르면 서울 아파트 전셋값은임대차2법 도입 전에는 1년간 3.86% 올랐지만, 도입 후에는 1년 6개월간 8.13% 상승한 것으로 나타났다. 특히 신규 계약 시 4년치(2+2년) 임대료 인상분을 한꺼번에 받으려는 집주인들이...",
임대차법,"'2+2년' 대신 '2+1+1년'?…정부, 임대차2법 개편 논의 본격화",https://www.yna.co.kr/view/AKR20250326138000003?input=1195m,"임대차제도 개편 첫 토론회 열려…전문가 ""계약갱신권, 세입자에 오히려 불리"" 전문가 ""임대료 상승률 높아질수록 갱신권 사용 비율 하락"" 정부가임대차2법(계약갱신청구권·전월세상한제) 개편을 위한 공론화에 나선 가운데 국책 연구기관 연구자들이 계약갱신청구권이 도입 취지와 달리 세입자에게 오히려...",
임대차법,전세 10년 보장하자는 野…임대차2법 개편 '안갯속',https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202503260284&t=NNv,"<앵커> 정부의 제도 개선 취지는 알겠는데,임대차제도는 이미 정치권의 뜨거운 이슈입니다.법개정이 필요한 사항인데, 당장 국회 다수당인 민주당이 동의하겠습니까? <기자> 더불어민주당은 정부의임대차2법 개정 움직임에 반발하고 있습니다. 진성준 민주당 정책위의장은 ""안착 단계에 들어간임대차...",
임대차법,전세시장 또 흔드나…국토부 ‘임대차 2법’ 공론화 논란,https://www.hani.co.kr/arti/economy/property/1188674.html,"정부가 현행임대차2법(계약갱신청구권·전·월세 상한제) 제도 개편을 위한 공론화에 나섰다. 시행착오를 거쳐 제도가 안착하는 가운데, 다시 제도 개편 시도에 나서는 셈이라 논란이 예상된다. 국토교통부는 오는 26일 세종 국토연구원에서 ‘임대차제도개선 토론회’가 열린다고 24일 밝혔다. 국토부가...",
임대차법,“전셋값 또 오를까 불안해요”…임대차 2법 개선 추진에 세입자들 ‘한숨’,https://www.mk.co.kr/article/11274861,임대차2법(계약갱신청구권·전월세상한제) 시행 5년을 맞아 정부가 제도 개편을 위한 움직임에 나섰다. 시장의 눈길이 쏠리는 가운데 임차인들 사이에서 전셋값 폭등이 재현될 수 있다는 우려가 커지고 있다. 27일 아파트·주택 업계에 따르면 지난 26일 오후 세종 국토연구원 강당에서는 국토교통부가임대차...,
임대차법,"“전·월세 상한선 상향, 임대차 2법 보완 필요”",https://www.kmib.co.kr/article/view.asp?arcid=1742978476&code=11151500&cp=nv,다만법개정에 대한 신중론도 제기됐다. 토론회 패널로 나선 문윤상 한국개발연구원(KDI) 연구위원은 “임대차보호법은 초기 시장에 혼란을 줬지만 지난해 시장이 안정세를 보인 만큼 장기적 효과도 살펴야 한다”고 말했다. 이날 토론회는 도입 5년을 맞은임대차2법의 공과를 점검하고 제도 개선 방향을...,
임대차법,"임대차 2법, 시행 5년 만에 수술대 오르나",https://biz.sbs.co.kr/article_hub/20000224589?division=NAVER,임대차2법(계약갱신청구권·전월세상한제) 시행 5년이 다가오는 가운데 정부가 제도 개편을 위한 공론화 작업을 시작합니다. 국토교통부는 26일 세종시 국토연구원에서 '임대차제도개선 토론회'를 개최한다고 25일 밝혔습니다. 국토부가 후원하고 국토연이 주최하는 토론회로 정부가임대차2법 개편 논의를...,
임대차법,"'임대차2법' 폐지보단 유지…전문가 ""제도 유연성"" 한목소리",http://news.bizwatch.co.kr/article/real_estate/2025/03/27/0007,"2020년 7월 도입 후 5년차를 맞은 '임대차2법(계약갱신청구권 및 전월세 상한제)'에 대한 개선 움직임이 본격화했다. 전문가들은 당초 윤석열 대통령 대선... 통해 최대한 많은 의견을 청취하는 한편법개정이 필요한 만큼 정책방향 결정에서부터 입법 가능성을 염두에 두고 국회와 소통할 것""이라고 덧붙였다.",
임대차법,"임대차2법 개편 논의…""5% 상한율 조정 등 유연성 강화해야""",http://www.yonhapnewstv.co.kr/MYH20250328060859762,"세입자 보호를 내세웠던임대차2법, 시행 5년차를 맞으며 개편 논의가 본격화되고 있습니다. 정부가 주최한 첫 토론회에서는 5% 상한율 조정 등 유연성 강화를 중심으로 개선 방향이 제시됐습니다. 김수강 기자입니다. [기자] 세입자의 주거 안정을 위해 도입된임대차2법. 2년 계약 후 한 차례 연장으로 최대...",
임대차법,"서천호, 수산업법 일부개정안 대표발의",https://www.gnnews.co.kr/news/articleView.html?idxno=607291,국민의힘 서천호(사천·남해·하동) 의원은 26일 업종별 수산업협동조합(이하 '업종별수협')이 소유하고 있는 어업권을 해당 조합원에게 행사하더라도임대차로 보지 않도록 예외를 인정하는 '수산업법' 일부개정안을 대표발의 했다고 밝혔다. 현행법은 어업권에 대해임대차의 목적으로 할 수 없도록 규정하고...,
임대차법,"4·2 담양군수 재선거, 재산축소·농지법 위반 놓고 '공방'",https://www.pressian.com/pages/articles/2025032917194119372?utm_source=naver&utm_medium=search,"그러면서 ""수년간 경작 증빙이나 직불금 수령 여부,임대차관계가 확인되지 않는다면 불법 농지 취득에 해당할 수 있다""고 덧붙였다. 이어 ""재산신고 사항이 허위로 밝혀진다면 민주당 후보자 검증과정 부실과 후보자의 도덕적 불감증을 탓하지 않을 수 없다""며 ""축소 신고 의혹이 사실일 경우 이 후보는...",
임대차법,[단독]서민 위한다던 임대차법… 시행뒤 가격변동성 3배↑,https://www.munhwa.com/news/view.html?no=2025032701071905238001,제정된 ‘임대차2법(계약갱신청구권·전월세상한제)’이 당초 의도와 달리 가격 변동성을 3배 키우는 부작용을 낳았다는 연구결과가 나왔다. 변동성... 27일 한국조세재정연구원이 발표한 ‘주택임대차보호법 개정이 주택시장에 미친 영향’에 따르면임대차2법에 따른 전월세 가격 변동성을 산출한 결과 약...,
임대차법,임대차법 5년… “인상률 상한 손질 필요”,https://www.donga.com/news/Economy/article/all/20250327/131291610/2,"정부는 공론화 이후 정부안을 내놓을 방침인데,법개정이 필요해 정치 상황이 변수가 될 것으로 전망된다. 국토교통부는 26일 세종 국토연구원 사옥에서 ‘임대차제도 개선을 위한 전문가 토론회’를 열었다.임대차2법 제도 개선에 나선 건 제도 도입 후 전세 매물이 줄고 갱신 계약과 신규 계약 간 이중...",
임대차법,"이재명 ""'전세 10년' 임대차법 바람직하지 않아…당 입장도 아냐""",https://www.newsis.com/view/NISX20250317_0003101200,"이재명 더불어민주당 대표는 17일 임차인 거주기간을 최장 10년 보장하는 주택임대차보호법 개정안과 관련해 ""개인적으로 바람직하지 않다는 의견을 갖고 있다""고 말했다. 이 대표는 이날 오전 페이스북을 통해 ""전세 계약을 10년 보장하는임대차법개정의 경우 논의를 거친 당 공식 입장이 아니다""라고 말했다....",
임대차법,"임대차2법 개편 논의, 임대료 상한 10% 확대 방안 제시",https://www.jemin.com/news/articleView.html?idxno=792617,"사진출처: 연합뉴스 정부가임대차2법 개편을 위한 공론화 작업에 들어갔다. 5년 차 도입된 제도 폐지 시 예상되는 시장 혼란을 고려해 기존 제도의 '손질'에 방점을 두고 있다. 국토교통부는 26일 세종시에서 '임대차제도개선 토론회'를 주관하며, 국책 연구기관인...",
임대차법,'꼼수 임대차'로 아이파크몰 부당지원한 HDC…공정위 제재 절차 착수,https://www.hankyung.com/article/202503269213i,공정거래위원회가 ‘허위임대차’ 계약으로 부동산 계열사를 부당지원한 HDC그룹에 대해 제재 절차에 착수했다. 25일 관련업계에 따르면 공정위는 HDC가 부동산 개발 계열사 HDC아이파크몰을 부당 지원했다고 보고 최근 두 회사에 제재 의견을 담은 심사보고서를 발송했다. 심사보고서는법위반 사실이...,
임대차법,버린 파지 맞춰보니…‘이중·삼중분양’에 ‘임대차 사기’까지? [취재후/빌라왕]②,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8209896&ref=A,"■ 다 지은 건물에서도 '임대차사기'...보증금 못 받고 발만 동동 이중 분양과 분양사기는 모두 '선분양', 즉 건물을 짓기 전 분양 계약서를 쓴 후 공사를... B 씨/'임대차사기' 피해자 : ""빌라 입주자들이 거의 20~30대니까 부동산 계약을 잘 모르는 분들이 많고 또 대응하려면 다 돈인 거예요. 돈을 날려서 돈을...",
임대차법,"이재명 “전세 10년 보장 임대차법, 黨 공식입장 아니다”",https://www.donga.com/news/Politics/article/all/20250318/131226211/2,더불어민주당 이재명 대표가 17일 전세 계약을 10년 보장하는 내용의 주택임대차보호법(임대차법) 개정을 추진하려는 당내 움직임에 대해 “개인적으로 바람직하지 않다는 의견”이라고 선을 그었다. 이 대표가 의장을 맡은 민주당 민생연석회의는 최근 20대 정책 의제를 발표하면서 임차인의 전세 계약을 최대...,
임대차법,"“전세인상률 상한제 유연 적용을”…정부, 임대차 2법 손질 나서나",https://www.donga.com/news/Economy/article/all/20250326/131288698/1,"정부는 공론화 이후 정부안을 내놓을 방침인데,법개정이 필요해 정치 상황이 변수가 될 것으로 전망된다. 국토교통부는 26일 세종 국토연구원 사옥에서 ‘임대차제도개선을 위한 전문가 토론회’를 열었다.임대차2법 제도 개선에 나선 건 제도 도입 후 전세 매물이 줄고 갱신 계약과 신규 계약 간 이중...",
임대차법,[굿모닝경제] 임대차 2+1+1로? / 1월 출생아증가율 최고 / 산불성금 160억,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5102873,"정부가임대차2법 개편 논의를 위한 첫 토론회를 열었습니다. 국책 연구기관 연구자들은 계약갱신청구권이 도입 취지와 달리 세입자에게 오히려 불리하게 작용하는 측면이 있다고 지적했습니다. 이에 따라 계약 기간을 '2+1+1년'으로 쪼개고, 임대료 인상 상한을 5%에서 10%로 올리는 방안 등이...",
임대차법,"정철원 전남 담양군수 후보, 이재종 '농지법 위반' 의혹 제기",https://www.polinews.co.kr/news/articleView.html?idxno=687308,"정 후보는 ""만약 이 후보가 실경작을 하지 않았다면 농지은행에 위탁하거나 농지은행을 통해임대차를 해야 한다""며 ""이에 대한 증빙도 함께 제출할 필요가 있다. 이러한 과정을 거치지 않았다면 농지법 위반에 해당된다""고 주장했다. 끝으로 ""공직후보는 누구보다도 높은 도덕적 기준을 요구받고 있다""며...",
임대차법,“업종별수협 소유 어업권 임대차 예외 추진”,http://www.knnews.co.kr/news/articleView.php?idxno=1456662,업종별 수산업협동조합(이하 ‘업종별수협’)이 소유하고 있는 어업권을 해당 조합원에게 행사하더라도임대차로 보지 않도록 예외를 인정하는 법안이 추진된다. 국민의힘 서천호(사천·남해·하동·사진) 의원은 25일 이같은 내용의 ‘수산업법’ 일부개정안을 대표발의했다. 현행법은 어업권에 대해임대차를 할...,
임대차법,"서천호 국회의원, ‘수산업법’ 일부개정안 대표 발의",https://www.viva100.com/article/20250325501614,"서천호(국민의힘, 사천·남해·하동) 국회의원이 업종별 수산업협동조합(이하 ‘업종별수협’)이 소유하고 있는 어업권을 해당 조합원에게 행사하더라도임대차로 보지 않도록 예외를 인정하는 ‘수산업법’ 일부개정안을 대표 발의했다. 현행법은 어업권에 대해임대차의 목적으로 할 수 없도록 규정하고...",
임대차법,"""임대차계약 정산주기도 2배""…홈플러스, 미정산 리스크 키웠다",https://www.news1.kr/industry/distribution/5726272,"공정거래위원회는 홈플러스발 사태로 지적된 정산주기, 입점업체 계약 관련 불공정 거래 등을 들여다본다는 입장으로,임대차거래 정산주기도 검토 대상에 오를 전망이다. 23일 업계에 따르면 홈플러스의 경우임대차거래 정산일은 익월말로, 당월 판매 대금을 다음 달 말 정산하는 시스템이다. 미정산 시 두...",
