keyword,title,link,summary,date
종부세 개편,"한강벨트의 정치학…'상속세 개편' 치고 나간 이재명, '토허제' 후폭풍 맞은 오세훈 [최병천의 인사이트]",https://www.sisajournal.com/news/articleView.html?idxno=328305,2022년 대선에서종부세는 '한강벨트 초토화세(稅)'이자 동시에 '정권 교체 촉진세'로 작동했다. 상속세개편안은 민주당과 이재명 대표의 '진일보한 정책공학'을 보여준다. 무엇보다 유권자 타기팅이 감탄스럽다. 민주당의 상속세개편안은 면세 대상을 10억원 이하에서 18억원 이하로 바꾸는 것이다....,
종부세 개편,"與, 지방 집에는 다주택 중과 폐지…""양도세·종부세·취득세 모두 적용""",http://news.mt.co.kr/mtview.php?no=2025031811171853244,"권 원내대표는 ""이 같은 세제개편이 수도권 주택 가격 상승을 초래하는 역효과를 미연에 방지하기 위해 두 번째부터 보유하는 주택이 수도권에 위치할... 국민의힘은 해당 세제혜택을 양도소득세와종부세, 취득세 등에 적용할 계획이다. 당초 정부는종부세와 취득세에 대해서 지방 주택 추가 매수시 세제혜택을...",
종부세 개편,"권성동 ""지방에 추가 주택 구입시 다주택자 중과세 폐지 등 세제 개편 논의""",http://www.enewstoday.co.kr/news/articleView.html?idxno=2251095,"권성동 국민의힘 원내대표는 18일 부동산 세제개편과 관련 지방에 추가 주택 구입 시 다주택자 중과세를 폐지하는 등 부동산 시장 정상화를 위한 제도... 권 원내대표는 ""문재인 정부의 기록적인 정책 실패 때문에종부세율 인상, 양도세·취득세 중과, 공시가 인상 등 다주택자에 대한 무차별적 조세폭격은...",
종부세 개편,"[단독] 국민의힘, 종부세 중과 폐지도 추진…정치권 ‘감세 주도권’ 전쟁",https://www.mk.co.kr/article/11260290,안도걸 민주당 의원은 “지금은종부세를 손댈 상황이 아닌 듯하다”며 “종부세규제 완화나 세금 인하가 이미 대폭 이뤄진 상황에서 중과세율 폐지는 부적절하다”고 말했다. 한편 상속세개편과 관련해 여야는 합의가 가능한 부분부터 먼저 처리할 것으로 보인다. 김상훈 국민의힘 정책위의장은 “기재위...,
종부세 개편,홍준표 “종부세 폐지하고 재산세 현실화해야…재건축부담금도 폐지하자”,https://biz.heraldcorp.com/article/10444583?ref=naver,근데 집 한 채 있는데 왜종부세를 내느냐”며 “종합부동산세를 폐지하고 재산세 과표를 현실화해야 한다”고 주장했다. 그러면서 “지금 세금 구조가 잘못됐다”며 “그런 체제를 전부 (개편을) 해가지고 재산세를 올리면 된다”고 했다. 또 “부동산 거래도 좀 활발하게 할 수 있게 양도소득세를 완화하고...,
종부세 개편,상속세 23년 만의 개편 논의… 중산층·기업 만족하는 묘수 찾나[홍희경의 탐구],https://www.seoul.co.kr/news/editOpinion/column/hhk_research/2025/03/06/20250306029001?wlog_tag3=naver,"상속세개편이 단순히 세수의 문제를 넘어 기업 지배구조와 경영 투명성, 나아가 국가 경제 전체에 악영향을 미친다는 우려는 이런 과정을 거쳐 나오게 됐다. #5.종부세표심, 상속세 표심에선 바뀔까 최근 들어 한국의 상속세는 이처럼 두 가지 면에서 한계를 드러냈다. 하나는 중산층의 부동산 상속, 다른...",
종부세 개편,[콕콕 절세전략] 75년 만의 상속세 개편 급물살?,https://biz.sbs.co.kr/article_hub/20000222452?division=NAVER,"상속세개편을 두고 여아가 접점을 찾아가면서 큰 변화가 생기는데요. 어떤 것들이 변하는지 자세하게 알아보겠습니다. 우리은행 WM영업전략부 김혜리... - 부동산 상속 시 취득세·종부세·양도소득세 등 과세 - 상속, 시가표준액 기준 과세…시가보다 약 30%↓ - 취득세율, 상속 주택 3.16%…무주택자는 0.96...",
종부세 개편,"[기고]주택 1채뿐인데, 종부세는 2주택만큼 낸다?",http://news.mt.co.kr/mtview.php?no=2025030409570779009,"[the L]화우 자산관리센터 전문가들이 말해주는 '상속·증여의 기술' 지난해 말 종합부동산세(종부세) 고지서를 받은 60대 박씨,종부세가 생각보다 많이... 국내외 기업의 법인세, 부가가치세 등 각종 조세 사건 이외에도 지주회사 전환, 분할, 사업양도 등 지배구조개편, 가업승계, 자산유동화, 해외투자 등과...",
종부세 개편,"""실거주 1주택 종부세 없애고 상속세 개편 재개해야""",https://www.sedaily.com/NewsView/2GOTS9UX0L,과감하게종부세를 없애야 한다”고 짚었다. 구 회장이 “국민 생활에 영향이 큰 재산세제 혁신이 가장 절실하다”고 강조했다. 그런 맥락에서 “상속·증여세의개편도 시급하다”고 말했다. 구 회장은 “지난해 국회에서 정치 세력 간의 이해가 엇갈려 상증세법은 전혀 손대지 못했다”며 “집 한 채만 있어도...,
종부세 개편,120만명이 내던 주택 종부세 이젠 40만명대…개편 동력 살아날까,http://news.mt.co.kr/mtview.php?no=2024112614280523039,올해 세법개정안을 마련할 때종부세 개편안을 반영할지를 두고 막판까지 조율이 이뤄질 정도였다. 정부는 종부세가 어느 정도 '정상화'됐다고 판단하면서도 개편 여부를 두고 고심 중이다. 2022년 정점 찍고 급감한 종부세 대상자 종부세는 부동산 투기를 막기 위해 2005년 도입된 세금이다. 도입 초기부터...,
